city,lat,lng,country,iso3,local_name,population,continent
Iguape,-24.7081,-47.5553,Brazil,BRA,São Paulo,30390.0,South America
Télimélé,10.905,-13.043,Guinea,GIN,Kindia,30311.0,Africa
Huanta,-12.9397,-74.2475,Peru,PER,Ayacucho,30234.0,South America
Gurnee,42.3708,-87.9392,United States,USA,Illinois,30378.0,North America
Carlos Barbosa,-29.2978,-51.5039,Brazil,BRA,Rio Grande do Sul,30241.0,South America
Orangeburg,33.4928,-80.867,United States,USA,South Carolina,30365.0,North America
Mont-de-Marsan,43.89,-0.5,France,FRA,Nouvelle-Aquitaine,29554.0,Europe
Buguey,18.2882,121.8331,Philippines,PHL,Cagayan,30175.0,Asia
Carmo do Paranaíba,-19.0008,-46.3158,Brazil,BRA,Minas Gerais,30334.0,South America
Galdácano,43.2306,-2.8458,Spain,ESP,Basque Country,29427.0,Europe
Tactic,15.3167,-90.3511,Guatemala,GTM,Alta Verapaz,30000.0,North America
Vinces,-1.55,-79.7333,Ecuador,ECU,Los Ríos,30241.0,South America
Shetang,34.5568,105.9722,China,CHN,Gansu,29811.0,Asia
Holladay,40.6599,-111.8226,United States,USA,Utah,30325.0,North America
Fuquay-Varina,35.5958,-78.7794,United States,USA,North Carolina,30324.0,North America
Chimichagua,9.2578,-73.8133,Colombia,COL,Cesar,30303.0,South America
Valdepeñas,38.7667,-3.4,Spain,ESP,Castille-La Mancha,30252.0,Europe
Chamblee,33.8842,-84.3008,United States,USA,Georgia,30307.0,North America
Kondopoga,62.2,34.2667,Russia,RUS,Kareliya,30299.0,Europe
Comiso,36.95,14.6,Italy,ITA,Sicilia,29845.0,Europe
Dimataling,7.5333,123.3667,Philippines,PHL,Zamboanga del Sur,30081.0,Asia
Carney,39.405,-76.5236,United States,USA,Maryland,30289.0,North America
Xunjiansi,23.962,103.1925,China,CHN,Yunnan,30159.0,Asia
Peru,41.3484,-89.137,United States,USA,Illinois,30287.0,North America
Kibiti,-7.7296,38.95,Tanzania,TZA,Coast,30163.0,Africa
Décines-Charpieu,45.7694,4.9594,France,FRA,Auvergne-Rhône-Alpes,28602.0,Europe
Cihuatlán,19.25,-104.5667,Mexico,MEX,Jalisco,30241.0,North America
Tsuruno,40.8089,140.38,Japan,JPN,Aomori,30164.0,Asia
Sergio Osmeña Sr,8.2988,123.5036,Philippines,PHL,Zamboanga del Sur,30220.0,Asia
Rushden,52.288,-0.601,United Kingdom,GBR,Northamptonshire,29272.0,Europe
Temse,51.1261,4.2133,Belgium,BEL,Flanders,29528.0,Europe
Kombissiri,12.0667,-1.3333,Burkina Faso,BFA,Centre-Sud,30137.0,Africa
Augustów,53.85,22.9667,Poland,POL,Podlaskie,30153.0,Europe
Upper Merion,40.0902,-75.3791,United States,USA,Pennsylvania,30260.0,North America
Cornelius,35.4725,-80.8801,United States,USA,North Carolina,30257.0,North America
Gorodets,56.6503,43.4703,Russia,RUS,Nizhegorodskaya Oblast’,30188.0,Europe
Matsubushi,35.9258,139.8153,Japan,JPN,Saitama,28494.0,Asia
Trutnov,50.561,15.9128,Czechia,CZE,Královéhradecký Kraj,29958.0,Europe
North Tonawanda,43.0457,-78.8659,United States,USA,New York,30245.0,North America
Talayan,6.9844,124.3564,Philippines,PHL,Maguindanao,30032.0,Asia
Sue,33.5872,130.5072,Japan,JPN,Fukuoka,28489.0,Asia
Gaggenau,48.8039,8.3194,Germany,DEU,Baden-Württemberg,29777.0,Europe
Newington,41.687,-72.7308,United States,USA,Connecticut,30234.0,North America
Catolé do Rocha,-6.3439,-37.7469,Brazil,BRA,Paraíba,30179.0,South America
Buenavista,13.7394,122.4675,Philippines,PHL,Quezon,30047.0,Asia
Sitges,41.2339,1.8042,Spain,ESP,Catalonia,29553.0,Europe
Bergen,52.6703,4.7054,Netherlands,NLD,Noord-Holland,29974.0,Europe
Los Gatos,37.2303,-121.956,United States,USA,California,30222.0,North America
Mozhaysk,55.5,36.0333,Russia,RUS,Moskovskaya Oblast’,30190.0,Europe
Shangpa,26.9052,98.8679,China,CHN,Yunnan,30129.0,Asia
Moanda,-1.5655,13.2,Gabon,GAB,Haut-Ogooué,30151.0,Africa
Bad Hersfeld,50.8683,9.7067,Germany,DEU,Hesse,29800.0,Europe
Saint-Étienne-du-Rouvray,49.3786,1.105,France,FRA,Normandie,28641.0,Europe
Peñaranda,15.35,121.0,Philippines,PHL,Nueva Ecija,29882.0,Asia
South Lake Tahoe,38.9393,-119.9828,United States,USA,California,30188.0,North America
LaSalle,42.2167,-83.0667,Canada,CAN,Ontario,30180.0,North America
Friedberg,48.35,10.9833,Germany,DEU,Bavaria,29810.0,Europe
Clinton,41.8434,-90.2408,United States,USA,Iowa,30177.0,North America
Merida,10.9098,124.5376,Philippines,PHL,Leyte,29863.0,Asia
Caramoran,13.9833,124.1333,Philippines,PHL,Catanduanes,30056.0,Asia
Northfleet,51.44,0.34,United Kingdom,GBR,Kent,29474.0,Europe
Saratoga,37.2684,-122.0263,United States,USA,California,30153.0,North America
Hinunangan,10.4,125.2,Philippines,PHL,Southern Leyte,29976.0,Asia
Kalgoorlie,-30.7489,121.4658,Australia,AUS,Western Australia,29849.0,Oceania
Tizi Gheniff,36.5891,3.7678,Algeria,DZA,Boumerdes,29409.0,Africa
Paraipaba,-3.4389,-39.1478,Brazil,BRA,Ceará,30041.0,South America
Bra,44.7,7.85,Italy,ITA,Piedmont,29645.0,Europe
Planadas,3.1964,-75.6444,Colombia,COL,Tolima,30117.0,South America
Gamu,17.05,121.8333,Philippines,PHL,Isabela,29904.0,Asia
Brodnica,53.25,19.4,Poland,POL,Kujawsko-Pomorskie,28880.0,Europe
Tabio,4.9158,-74.0983,Colombia,COL,Cundinamarca,29731.0,South America
Lismore,-28.8167,153.2833,Australia,AUS,New South Wales,28720.0,Oceania
L’Arbaa Naït Irathen,36.6367,4.2067,Algeria,DZA,Tizi Ouzou,29376.0,Africa
Puente-Genil,37.3833,-4.7667,Spain,ESP,Andalusia,29943.0,Europe
Guotang,23.8334,115.9286,China,CHN,Guangdong,29315.0,Asia
